 ( 8.64425374E-07, 3.95769575E-07)
 (-3.44434795E-07, 7.87920214E-07)
 (-1.04729077E-06, 4.88436285E-07)
 (-2.66791108E-06,-1.52477560E-06)
 ( 1.23624250E-06, 2.70565738E-06)
 (-1.04974538E-06, 4.64775979E-07)
 (-3.19370031E-07,-7.10786253E-07)
 (-6.11196469E-07,-1.03560319E-06)
 (-3.70593284E-06,-3.39212056E-06)
 ( 4.22193722E-07,-1.24801076E-07)
 ( 4.57873767E-07, 4.10322713E-07)
 ( 6.54704934E-07,-8.01279043E-08)
 ( 4.13029824E-07, 3.72127090E-07)
 ( 1.24257610E-07,-7.65557616E-07)
 (-1.35515092E-08,-1.35603926E-07)
 ( 5.80480389E-07, 7.98351181E-08)
 ( 3.40538833E-07,-8.15378982E-08)
 ( 9.53347126E-07,-7.27467977E-07)
 (-2.11392688E-07, 2.68129753E-07)
 (-7.21654700E-08, 2.97353552E-07)
 ( 1.05458568E-07, 2.23026873E-07)
 (-7.22841733E-08,-2.07700896E-08)
 ( 4.26076525E-07, 1.97712595E-07)
 (-2.62295003E-08, 7.54086500E-08)
 (-1.70175937E-07, 7.55265859E-08)
 ( 3.80358784E-08, 9.48615320E-09)
 ( 2.29033006E-08,-9.48231005E-08)
 (-2.30185027E-08, 6.74636027E-08)
 ( 4.96651040E-08, 1.21935926E-07)
 ( 1.57899251E-07, 2.39893950E-07)
 ( 9.28526021E-08, 1.15320042E-07)
 ( 3.45620643E-09, 4.81634217E-08)
 (-1.33465306E-07, 1.26330750E-08)
 (-6.35616786E-08,-9.75080017E-09)
 ( 4.92935781E-09, 2.24151950E-08)
 ( 2.03794066E-08,-9.14354885E-08)
 ( 1.82364026E-08, 2.05098971E-07)
 (-3.52103662E-08, 2.05661536E-07)
 (-4.02202716E-08, 1.24768860E-07)
 (-4.58505909E-08, 9.27293584E-08)
 ( 8.33892031E-08, 1.37274272E-08)
 (-1.48548878E-07,-1.84426980E-08)
 ( 2.79505286E-09,-2.09362172E-09)
 (-2.69565561E-08, 3.49202125E-08)
 (-4.16062242E-08,-5.03955420E-08)
 ( 2.89103070E-08, 7.38143839E-08)
 ( 1.41119978E-08, 6.73652067E-08)
 (-2.69686922E-08,-4.09812522E-08)
 (-2.71700902E-08,-1.50593600E-08)
 (-1.85229982E-08, 6.32317452E-08)
 (-4.72385508E-08,-4.31983977E-08)
 ( 3.62459240E-09, 4.46705926E-08)
 (-8.33963298E-09, 2.45384228E-08)
 ( 3.80234226E-08, 2.26943797E-09)
 (-4.89959859E-08, 7.97305404E-08)
 (-8.21368928E-09, 5.56035147E-08)
 ( 7.04652905E-08, 3.00822300E-08)
 ( 1.25080826E-08,-1.02581525E-08)
 (-2.89282536E-08, 5.79820458E-09)
 (-5.72631436E-08,-2.09812612E-08)
 (-6.66681998E-08,-2.07256985E-08)
 (-7.39689066E-09, 5.34657829E-09)
 (-4.98359860E-08,-3.28922773E-08)
 (-1.06804441E-08, 3.22047988E-08)
 (-7.67921193E-09, 7.46223705E-09)
 (-1.79505157E-08, 4.11145784E-08)
 (-7.73598186E-10, 3.29593313E-08)
 (-2.33381723E-08,-6.46265208E-10)
 (-3.91786799E-08, 1.31301059E-08)
 ( 2.27832100E-08, 1.04789075E-08)
 ( 1.85577793E-08, 1.88002662E-08)
 ( 4.88074914E-09,-4.13531431E-09)
 (-8.65102905E-08, 1.90703869E-10)
 (-3.19360858E-08, 1.81119528E-08)
 (-1.52567150E-08,-1.43430228E-08)
 (-1.10441363E-08,-2.52976440E-09)
 ( 4.19190654E-10, 2.56470578E-08)
 (-3.83491887E-08,-3.11864312E-08)
 (-2.55748080E-08, 3.79854903E-08)
 ( 1.16717764E-08, 2.83428552E-08)
